game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,sh_goals
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,6.0,14.0,2.0,21.0,8.0,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,6.0,17.0,2.0,15.0,8.0,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,5.0,12.0,,2.0,5.0,1.0,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,5.0,16.0,1.0,14.0,6.0,,1.0
