game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_kr,score_p,score_pts,score_tot,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,3.0,1.0,1.0,,3.0,3.0,21.0,3.0,,59.0,,,,,,,,,,,
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,,,,,,,28.0,3.0,,65.0,1.0,2.0,2.0,,,,,,,,
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,,,,,51.0,4.0,,114.0,,,,,,,,,,,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,10.0,5.0,5.0,,6.0,22.0,28.0,6.0,,113.0,,,,,,,,,,,
FOOTBALL_CFL_2016_11_4_WPG@OTT,2016-11-04,2016,1,CFL,WPG,OTT,,,,,,,19.0,3.0,1.0,138.0,,,,,1.0,,6.0,1.0,,,
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,3.0,1.0,3.0,,,3.0,32.0,3.0,,88.0,,,,1.0,,,2.0,,1.0,1.0,1.0
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,,,,,,24.0,4.0,,93.0,,,,,,,,,,,
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,,,,,,,53.0,5.0,,133.0,,,,,,,,,,,
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,,,,,,,36.0,3.0,,66.0,,,,,,,,,,,
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,11.0,2.0,2.0,,11.0,18.0,51.0,4.0,,133.0,1.0,7.0,7.0,,,,,,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,12.0,5.0,8.0,,12.0,29.0,23.0,3.0,,54.0,,,,,,,,,,,
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,9.0,4.0,5.0,,12.0,23.0,,3.0,1.0,169.0,,,,,1.0,,6.0,1.0,,,
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,,7.0,9.0,1.0,71.0,153.0,18.0,4.0,,53.0,,,,,,1.0,6.0,1.0,,,
