game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds
FOOTBALL_CFL_2018_10_20_SSK@CGY,2018-10-20,2018,1,CFL,SSK,CGY,,,,,,17.0,4.0,5.0,25.0,61.0
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,,,,10.0,1.0,1.0,5.0,10.0
FOOTBALL_CFL_2018_11_11_WPG@SSK,2018-11-11,2018,1,CFL,WPG,SSK,,,,,,,,2.0,,
FOOTBALL_CFL_2018_8_18_CIN@DAL,2018-08-18,2018,1,CFL,CIN,DAL,,,,,,,,1.0,,
FOOTBALL_CFL_2018_8_9_DAL@SF,2018-08-09,2018,1,CFL,DAL,SF,,,,,,,,2.0,,
FOOTBALL_CFL_2019_6_13_SSK@HAM,2019-06-13,2019,1,CFL,SSK,HAM,,,,,,37.0,4.0,5.0,44.0,66.0
FOOTBALL_CFL_2019_6_20_SSK@OTT,2019-06-20,2019,1,CFL,SSK,OTT,,,,,,7.0,2.0,2.0,2.0,12.0
FOOTBALL_CFL_2019_7_1_TOR@SSK,2019-07-01,2019,1,CFL,TOR,SSK,,,,,,26.0,5.0,5.0,19.0,71.0
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,1.0,41.0,1.0,,,,,
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,,69.0,1.0,,,,,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,1.0,51.0,2.0,,,,,
SYNTHETIC_XFL_2023_W10_GUARDIANS,2023-04-22,2023,10,XFL,BATTLEHAWKS,GUARDIANS,0.0,1.0,,,,,,,,
15,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,,,0.0,0.0,0.0,,,,,
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,,0.0,0.0,0.0,,,,,
32,2024-05-19,2024,8,UFL,BRAHMAS,RENEGADES,,,0.0,32.0,1.0,,,,,
42,2024-06-09,2024,11,UFL,BATTLEHAWKS,BRAHMAS,,,0.0,0.0,0.0,,,,,
43,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,,0.0,26.0,2.0,,,,,
