game_id,date,season,week,league,away,home,def_tackles,gp,punt_no,punt_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,9.0,,,1.0,,18.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,11.0,38.0,1579.0,9.0,1.0,106.0
