game_id,date,season,week,league,away,home,passing_yards,receiving_yards,receptions,rushing_yards
SYNTHETIC_50YARD_2026_W2_ARIZONARATTLERS,2026-05-10,2026,2,50YARD,Tucson Sugar Skulls,Arizona Rattlers,,26.0,2.0,18.0
SYNTHETIC_50YARD_2026_W3_ARIZONARATTLERS,2026-05-18,2026,3,50YARD,ARIZONA RATTLERS,NEW MEXICO CHUPACABRAS,6.0,26.0,3.0,2.0
