game_id,date,season,week,league,away,home,assists,def_solo,def_tot,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,sh_goals
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,,1.0,1.0,,,,,,,11.0,4.0,7.0,,9.0,32.0,,,,,,,
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,,,,,,,,,,17.0,6.0,8.0,,19.0,51.0,1.0,5.0,5.0,,,,
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,,,,,,,,13.0,6.0,9.0,,6.0,42.0,,,,,,,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,,,,,,,,,,7.0,10.0,2.0,25.0,106.0,1.0,5.0,5.0,2.0,12.0,2.0,
FOOTBALL_CFL_2016_11_4_WPG@OTT,2016-11-04,2016,1,CFL,WPG,OTT,,,,,,,,,,16.0,5.0,6.0,,13.0,40.0,1.0,3.0,3.0,,,,
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,,,,,,,,14.0,4.0,8.0,,29.0,33.0,1.0,,,,,,
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,,,,,,,,,,16.0,3.0,4.0,,22.0,36.0,,,,,,,
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,,,,,,,,,28.0,5.0,6.0,,21.0,73.0,,,,,,,
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,,,,,,,,,,,7.0,9.0,1.0,20.0,44.0,2.0,1.0,-3.0,1.0,6.0,1.0,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,,,,,,,,8.0,2.0,3.0,,7.0,14.0,,,,,,,
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,,,,,,,,,,40.0,6.0,10.0,,21.0,95.0,,,,,,,
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,,,,,,,,,,11.0,5.0,8.0,,4.0,28.0,,,,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,24.0,,,17.0,35.0,,59.0,,,,,,,,,,,,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,42.0,,,17.0,33.0,,75.0,9.0,11.0,,,,,,,,,,,,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,53.0,,,18.0,46.0,8.0,99.0,13.0,11.0,,,,,,,,,,,,,1.0
