game_id,date,season,week,league,away,home,assist_tackles,kick_returns,kr_long,kr_yards,receiving_yards,receptions,solo_tackles,tackles
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,,2.0,28.0,56.0,,,,
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,2.0,39.0,61.0,,,,
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,1.0,5.0,27.0,100.0,,,,1.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,1.0,5.0,23.0,87.0,7.0,1.0,2.0,3.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,,6.0,30.0,136.0,,,1.0,1.0
