game_id,date,season,week,league,away,home,attempts,avg,long,yards
FOOTBALL_XLEAGUE_2022_SEASON_TOTAL,,2022,1,XLEAGUE,,,21.0,6.29,35.0,132.0
FOOTBALL_XLEAGUE_2023_SEASON_TOTAL,,2023,1,XLEAGUE,,,14.0,5.64,14.0,79.0
