game_id,date,season,week,league,away,home,1pt_conversion,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
64,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,0.0,1.0,0.0,79.0,0.0,10.0
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,1.0,0.0,,0.0,93.0,0.0,22.0
