game_id,date,season,week,league,away,home,field_goal_yards,missed
2,2024-03-30,2024,1,UFL,PANTHERS,BATTLEHAWKS,36.0,
6,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,70.0,1.0
12,2024-04-14,2024,3,UFL,BRAHMAS,BATTLEHAWKS,144.0,
13,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,101.0,1.0
19,2024-04-28,2024,5,UFL,DEFENDERS,BATTLEHAWKS,149.0,
26,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,99.0,
31,2024-05-19,2024,8,UFL,BATTLEHAWKS,DEFENDERS,63.0,
33,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,20.0,
38,2024-06-01,2024,10,UFL,BATTLEHAWKS,BRAHMAS,70.0,
42,2024-06-09,2024,11,UFL,BATTLEHAWKS,BRAHMAS,46.0,1.0
