game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,int_avg,int_long,int_yards,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,pass_defended,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,,,,,,2.0,0.0,0.0,0.0,,,,,,,0.0,4.0,5.0,,,,,,,,,,,
FOOTBALL_NAL_2025_4_26_T434514G979274@T425357,2025-04-27,2025,8,NAL,Columbus Lions,Colorado Spartans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,4.0,,,,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,4.0,4.0,,,,,,,,,,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,
FOOTBALL_IFL_2026_3_29_TTULSAOILERSG202603294IX1@TSANANTONIOGUNSLINGERS,2026-03-29,2026,3,IFL,Tulsa Oilers,San Antonio Gunslingers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_4_25_TTULSAOILERSG20260425FEQM@TARIZONARATTLERS,2026-04-25,2026,7,IFL,Tulsa Oilers,Arizona Rattlers,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,7.0,,
FOOTBALL_IFL_2026_5_2_TSANDIEGOSTRIKEFORCEG20260502S5MS@TTULSAOILERS,2026-05-02,2026,8,IFL,San Diego Strike Force,Tulsa Oilers,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
FOOTBALL_IFL_2026_5_23_TTULSAOILERSG20260523IVJK@TSANANTONIOGUNSLINGERS,2026-05-23,2026,11,IFL,Tulsa Oilers,San Antonio Gunslingers,4.0,,,,,,,,,,,,,,1.0,,,,8.0,8.0,0.0,8.0,1.0,,,5.0,9.0,,
FOOTBALL_IFL_2026_5_30_TIOWABARNSTORMERSG20260530KP8L@TTULSAOILERS,2026-05-30,2026,12,IFL,Iowa Barnstormers,Tulsa Oilers,3.0,1.0,,,0.0,,,,,,,5.0,5.0,5.0,,,,,,,,,1.0,,,3.0,6.0,,
FOOTBALL_IFL_2026_6_6_TTULSAOILERSG20260606EDGN@TFISHERSFREIGHT,2026-06-06,2026,13,IFL,Tulsa Oilers,Fishers Freight,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,
FOOTBALL_IFL_2026_6_13_TORLANDOPIRATESG202606136M0I@TTULSAOILERS,2026-06-13,2026,14,IFL,Orlando Pirates,Tulsa Oilers,4.0,,,,,,,,,,,,,,1.0,,,,6.0,6.0,0.0,6.0,,,,3.0,7.0,0.5,0.0
FOOTBALL_IFL_2026_7_11_TJACKSONVILLESHARKSG202607112P19@TTULSAOILERS,2026-07-11,2026,18,IFL,Jacksonville Sharks,Tulsa Oilers,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,5.0,7.0,,
FOOTBALL_IFL_2026_7_18_TQUADCITYSTEAMWHEELERSG20260718WOHW@TTULSAOILERS,2026-07-18,2026,19,IFL,Quad City Steamwheelers,Tulsa Oilers,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,
