game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds,rush_att
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,28.0,18.0,12.0,42.0,32.0,2.0,74.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,24.0,20.0,12.0,43.0,32.0,,,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,26.0,18.0,12.0,30.0,27.0,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,22.0,13.0,12.0,38.0,28.0,,,
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,,,1.0,,,,,
