game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-nasl-2016-odMX7YWQYL,,2016,1,NASL,,,0.0,-0.0225,45.1761,37.1399,0.0,22.0,3.2859,0.0,1.1756,0.0,0.1311,1.0,1035.0,0.6717,329.0,7.9599,2.4194,0.0,39.0,0.0,61.0,0.0,0.0225,0.0,18.7141,0.0,0.0225,0.6475,0.0
soccer-uslc-2017-xW5pkVBMg1,,2017,1,USLC,,,0.0,0.0,44.3381,38.0532,0.0,9.0,-1.7187,0.0,0.8397,0.0,0.0323,0.0,585.0,0.5902,205.0,3.7297,1.8194,0.0,21.0,0.0,31.0,0.0,0.0,0.0,10.7187,0.0,0.0,0.5721,0.0
soccer-uslc-2018-xW5pkVBMg1,,2018,1,USLC,,,0.0,0.0,46.2845,38.6125,0.0,13.0,3.0475,0.0,1.3062,0.0,0.0714,0.0,784.0,0.6202,258.0,3.1758,1.2309,0.0,14.0,0.0,28.0,0.0,0.0,0.0,9.9525,0.0,0.0,0.6078,0.0
soccer-uslc-2019-e7MzZbKMr0,,2019,1,USLC,,,0.0,0.0,45.4875,38.1147,0.0,30.0,2.1745,0.0,1.0781,0.0,0.1358,0.0,1537.0,0.6801,522.0,31.0984,5.9576,0.0,48.0,0.0,81.0,0.0,0.0,0.0,27.8255,0.0,0.0,0.6205,0.0
soccer-uslc-2020-e7MzZbKMr0,,2020,1,USLC,,,0.0,0.0,42.2423,34.0571,0.0,18.0,-4.5844,0.0,0.797,0.0,0.1818,0.0,1666.0,0.7066,501.0,6.0368,1.2049,0.0,59.0,0.0,77.0,0.0,0.0,0.0,22.5845,0.0,0.0,0.6945,0.0
soccer-uslc-2021-e7MzZbKMr0,,2021,1,USLC,,,0.0,0.0,43.1698,35.0325,0.0,28.0,4.2475,0.0,1.1788,0.0,0.1714,0.0,1607.0,0.6542,509.0,4.7861,0.9403,0.0,42.0,0.0,70.0,0.0,0.0,0.0,23.7525,0.0,0.0,0.6448,0.0
soccer-uslc-2022-2lqRjjnqr0,,2022,1,USLC,,,0.0,0.0,35.3862,25.7266,0.0,12.0,-0.4436,0.0,0.9643,0.0,0.0682,0.0,597.0,0.7114,201.0,-2.4424,-1.2151,0.0,32.0,0.0,44.0,0.0,0.0,0.0,12.4436,0.0,0.0,0.7236,0.0
soccer-uslc-2022-e7MzZbKMr0,,2022,1,USLC,,,1.0,0.8788,41.056,33.6041,0.0,27.0,0.3791,0.0,1.0142,1.0,0.087,1.0,1187.0,0.6889,389.0,10.8333,2.7849,0.0,40.0,0.0,69.0,0.0,0.1212,0.0,26.6209,0.0,0.1212,0.6611,0.0
soccer-usl1-2023-2lqRgd2Qr0,,2023,1,USL1,,,0.0,0.0,35.2259,27.7446,0.0,28.0,1.101,-0.0136,1.0409,0.0,0.2212,0.0,2820.0,0.7356,919.0,7.9617,0.8663,0.0,84.0,1.0,113.0,0.0,0.0,0.0136,26.899,-0.0136,0.0136,0.7269,0.0134
soccer-usl1-2024-2lqRgd2Qr0,,2024,1,USL1,,,0.0,-0.04,32.8515,25.4692,0.0,21.0,1.9164,0.0,1.1004,0.0,0.1412,2.0,2214.0,0.7548,726.0,7.0108,0.9657,0.0,64.0,0.0,85.0,0.0,0.04,0.0,19.0836,0.0,0.04,0.7452,0.0
soccer-usl1-2025-2lqRgd2Qr0,,2025,1,USL1,,,0.0,-0.122,39.8089,33.373,0.0,21.0,-4.5431,0.0,0.8221,0.0,0.1778,1.0,2696.0,0.6881,731.0,27.2816,3.7321,0.0,65.0,0.0,90.0,0.0,0.122,0.0,25.5431,0.0,0.122,0.6508,0.0
soccer-usl1-2026-4JMAOrPqKg,,2026,1,USL1,,,0.0,0.0,39.6516,32.2991,0.0,1.0,0.557,0.0,2.2573,0.0,0.0,0.0,99.0,0.6897,29.0,0.4195,1.4464,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.443,0.0,0.0,0.6752,0.0
