game_id,date,season,week,league,away,home,1pt_conversion,assist_tackles,conversions,int_avg,int_long,int_tds,int_yards,interceptions_made,receiving_tds,receiving_yards,receptions,solo_tackles,targets
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,,,,,,,,,0.0,11.0,2.0,,4.0
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,,,,,,,,,0.0,4.0,1.0,,2.0
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,,,,,,,,,0.0,0.0,0.0,,1.0
FOOTBALL_AAF_2019_3_2_SD@MEM,2019-03-02,2019,4,AAF,SD,MEM,,,,,,,,,1.0,54.0,4.0,,5.0
FOOTBALL_AAF_2019_3_9_SL@SD,2019-03-09,2019,5,AAF,SL,SD,,,,,,,,,0.0,65.0,2.0,,4.0
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,,,,,,,,,1.0,38.0,1.0,,2.0
FOOTBALL_AAF_2019_3_30_SD@SL,2019-03-30,2019,8,AAF,SD,SL,,,,,,,,,0.0,36.0,3.0,,7.0
SYNTHETIC_USFL_2022_W1_MICH,,2022,1,USFL,,,,,,,,,,,0.0,4.0,1.0,,
SYNTHETIC_USFL_2022_W2_MICH,,2022,2,USFL,,,,,,,,,,,0.0,38.0,3.0,,
SYNTHETIC_USFL_2022_W4_MICH,,2022,4,USFL,,,,,,,,,,,0.0,10.0,1.0,,
SYNTHETIC_USFL_2022_W6_MICH,,2022,6,USFL,,,,,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_2022_W7_MICH,,2022,7,USFL,,,,,,,,,,,0.0,15.0,3.0,,
SYNTHETIC_USFL_2022_W9_MICH,,2022,9,USFL,,,,,,,,,,,0.0,9.0,1.0,,
SYNTHETIC_USFL_2022_W10_MICH,,2022,10,USFL,,,,,,,,,,,1.0,25.0,3.0,,
SYNTHETIC_USFL_2023_W1_PANTHERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,,,,,,,,,1.0,28.0,2.0,,
SYNTHETIC_USFL_2023_W5_PANTHERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,,,,,,,,,0.0,23.0,4.0,,
SYNTHETIC_USFL_2023_W6_PANTHERS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,,,,,,,,,0.0,17.0,1.0,,
SYNTHETIC_USFL_2023_W11_PANTHERS,,2023,11,USFL,,,,,,,,,,,,0.0,,,
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,,,,,,,,0.0,0.0,0.0,,
14,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,,,,,,,,,0.0,0.0,0.0,,
21,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,,,,,,,,0.0,45.0,2.0,,
26,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,,,,,,,,,0.0,19.0,1.0,,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,,,,,,,,0.0,12.0,1.0,,
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,1.0,,,,,,,,,,,,
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,,,,,,,0.0,6.0,1.0,,
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,,,,,,,0.0,13.0,1.0,,
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,,,,,,,0.0,18.0,3.0,,
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,,,,,,,0.0,8.0,1.0,,
64,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,,,,,,,,0.0,5.0,1.0,,
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,,,,,,,,0.0,10.0,1.0,,
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,,,,,,,0.0,30.0,2.0,,
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,1.0,,,,,,,,,,
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,,,,,,,1.0,54.0,2.0,,
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,,,,,,,0.0,10.0,2.0,,
