game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,1.0,2.0,2.0,,,,,,10.0,19.0,,83.0,,,
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,1.0,1.0,20.0,4.0,4.0,37.0,39.0,,,,15.0,22.0,,66.0,,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,,,6.0,5.0,7.0,13.0,20.0,,,,8.0,12.0,,39.0,,,
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,1.0,1.0,16.0,7.0,7.0,61.0,65.0,,,,10.0,11.0,,33.0,,,
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,1.0,1.0,14.0,5.0,5.0,29.0,44.0,,,,11.0,24.0,,71.0,,,
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,1.0,1.0,3.0,1.0,1.0,2.0,3.0,,,,10.0,27.0,,71.0,,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,16.0,3.0,5.0,35.0,35.0,,,,11.0,12.0,,52.0,,,
FOOTBALL_CFL_2018_10_13_BC@CGY,2018-10-13,2018,1,CFL,BC,CGY,,,-2.0,1.0,2.0,-2.0,-2.0,,,,22.0,12.0,2.0,106.0,12.0,2.0,2.0
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,,12.0,1.0,1.0,12.0,12.0,19.0,1.0,19.0,16.0,31.0,,97.0,,,
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,10.0,1.0,3.0,10.0,10.0,,,,12.0,17.0,,50.0,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,7.0,3.0,6.0,15.0,18.0,17.0,2.0,28.0,6.0,7.0,,24.0,,,
FOOTBALL_CFL_2018_11_3_CGY@BC,2018-11-03,2018,1,CFL,CGY,BC,,,7.0,2.0,2.0,11.0,12.0,,,,5.0,6.0,,15.0,,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,13.0,5.0,6.0,31.0,31.0,,,,15.0,9.0,,65.0,,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,,12.0,3.0,6.0,25.0,28.0,,,,4.0,44.0,,53.0,,,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,,,11.0,4.0,4.0,18.0,18.0,,,,11.0,7.0,,20.0,,,
FOOTBALL_CFL_2018_7_21_MTL@CGY,2018-07-21,2018,1,CFL,MTL,CGY,,,23.0,6.0,6.0,50.0,52.0,,,,10.0,12.0,,44.0,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,45.0,4.0,5.0,43.0,82.0,,,,7.0,11.0,,39.0,,,
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,,,24.0,3.0,4.0,54.0,54.0,,,,11.0,9.0,1.0,41.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,,12.0,3.0,4.0,25.0,25.0,,,,10.0,17.0,,63.0,,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,,,11.0,1.0,1.0,11.0,11.0,,,,9.0,9.0,,31.0,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,2.0,2.0,8.0,1.0,3.0,8.0,8.0,,,,9.0,17.0,,61.0,,,
