game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards
SYNTHETIC_USFL_2023_W4_STARS,2023-05-06,2023,4,USFL,STARS,GAMBLERS,0.0,0.0,11.0
SYNTHETIC_USFL_2023_W10_STARS,2023-06-18,2023,10,USFL,PANTHERS,STARS,0.0,0.0,0.0
