game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-IND-ATL,2023-04-29,2023,1,,IND,ATL,2.0,1.0,11.0,8.0,1.0,,,10.0,2.0,187.0,111.0
2023-05-06-MIN-IND,2023-05-06,2023,2,,MIN,IND,3.0,,20.0,16.0,2.0,,1.0,18.0,2.0,324.0,88.0
2023-05-13-IND-CHI,2023-05-13,2023,3,,IND,CHI,,,19.0,17.0,1.0,3.0,,18.0,,221.0,109.0
2023-05-20-MAD-IND,2023-05-20,2023,4,,MAD,IND,3.0,,21.0,17.0,4.0,1.0,1.0,17.0,,312.0,190.0
2023-06-03-IND-DET,2023-06-03,2023,6,,IND,DET,3.0,,23.0,22.0,1.0,3.0,1.0,22.0,,270.0,143.0
2023-06-10-CHI-IND,2023-06-10,2023,7,,CHI,IND,2.0,,18.0,12.0,5.0,2.0,,13.0,1.0,271.0,19.0
2023-06-17-DET-IND,2023-06-17,2023,8,,DET,IND,1.0,,17.0,14.0,1.0,1.0,,16.0,1.0,256.0,76.0
2023-06-23-IND-MAD,2023-06-23,2023,9,,IND,MAD,2.0,,14.0,11.0,3.0,1.0,1.0,11.0,,258.0,77.0
2023-07-01-MAD-IND,2023-07-01,2023,10,,MAD,IND,3.0,,18.0,15.0,2.0,3.0,1.0,16.0,1.0,291.0,179.0
2023-07-09-IND-MIN,2023-07-09,2023,11,,IND,MIN,,,12.0,10.0,1.0,1.0,,11.0,1.0,128.0,24.0
2023-07-15-PIT-IND,2023-07-15,2023,12,,PIT,IND,3.0,,27.0,23.0,2.0,1.0,,25.0,2.0,266.0,-4.0
