game_id,date,season,week,league,away,home,1pt_conversion,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_XFL_2023_W1_BATTLEHAWKS,2023-02-19,2023,1,XFL,BATTLEHAWKS,BRAHMAS,,,,1.0,1.0,15.0,2.0
SYNTHETIC_XFL_2023_W2_BATTLEHAWKS,2023-02-23,2023,2,XFL,SEA DRAGONS,BATTLEHAWKS,,,,1.0,,18.0,
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,,,,,,,2.0
SYNTHETIC_XFL_2023_W3_BATTLEHAWKS,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,,,,2.0,,28.0,
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,,,,,3.0,,1.0
SYNTHETIC_XFL_2023_W4_BATTLEHAWKS,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,,,,1.0,,11.0,
SYNTHETIC_XFL_2023_W5_BATTLEHAWKS,2023-03-18,2023,5,XFL,BATTLEHAWKS,DEFENDERS,,,,,,28.0,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,,2.0,,4.0
SYNTHETIC_XFL_2023_W6_BATTLEHAWKS,2023-03-25,2023,6,XFL,VIPERS,BATTLEHAWKS,,,,,,6.0,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,1.0,1.0,,2.0
SYNTHETIC_XFL_2023_W7_BATTLEHAWKS,2023-04-02,2023,7,XFL,ROUGHNECKS,BATTLEHAWKS,,,,,,9.0,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,1.0,,,2.0
SYNTHETIC_XFL_2023_W8_BATTLEHAWKS,2023-04-08,2023,8,XFL,BATTLEHAWKS,VIPERS,,,,,,17.0,
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,,1.0,,2.0
SYNTHETIC_XFL_2023_W9_BATTLEHAWKS,2023-04-16,2023,9,XFL,BATTLEHAWKS,SEA DRAGONS,,,,,,30.0,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,,3.0,,4.0
SYNTHETIC_XFL_2023_W10_BATTLEHAWKS,2023-04-22,2023,10,XFL,BATTLEHAWKS,GUARDIANS,,,,,,28.0,
SYNTHETIC_UFL_2024_W1_BATTLEHAWKS,2024-03-30,2024,1,UFL,PANTHERS,BATTLEHAWKS,,,,,1.0,18.0,0.0
SYNTHETIC_UFL_2024_W2_BATTLEHAWKS,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,,,,,0.0,24.0,3.0
SYNTHETIC_UFL_2024_W3_BATTLEHAWKS,2024-04-14,2024,3,UFL,BRAHMAS,BATTLEHAWKS,,,,,0.0,24.0,0.0
SYNTHETIC_UFL_2024_W4_BATTLEHAWKS,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,,,,,1.0,17.0,4.0
SYNTHETIC_UFL_2024_W5_BATTLEHAWKS,2024-04-28,2024,5,UFL,DEFENDERS,BATTLEHAWKS,,2.0,,,3.0,12.0,2.0
SYNTHETIC_UFL_2024_W6_BATTLEHAWKS,2024-05-04,2024,6,UFL,BATTLEHAWKS,ROUGHNECKS,,,,1.0,0.0,6.0,1.0
SYNTHETIC_UFL_2024_W7_BATTLEHAWKS,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,,1.0,,1.0,0.0,30.0,3.0
SYNTHETIC_UFL_2024_W8_BATTLEHAWKS,2024-05-19,2024,8,UFL,BATTLEHAWKS,DEFENDERS,,,,,2.0,21.0,2.0
SYNTHETIC_UFL_2024_W9_BATTLEHAWKS,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,1.0,,,,0.0,30.0,1.0
SYNTHETIC_UFL_2024_W10_BATTLEHAWKS,2024-06-01,2024,10,UFL,BATTLEHAWKS,BRAHMAS,,1.0,,1.0,1.0,12.0,2.0
SYNTHETIC_UFL_2024_W11_BATTLEHAWKS,2024-06-09,2024,11,UFL,BATTLEHAWKS,BRAHMAS,,,,,1.0,22.0,1.0
SYNTHETIC_UFL_2025_W1_BATTLEHAWKS,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,,,2.0,6.0,3.0
SYNTHETIC_UFL_2025_W2_BATTLEHAWKS,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,,,1.0,9.0,4.0
SYNTHETIC_UFL_2025_W3_BATTLEHAWKS,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,,,2.0,27.0,0.0
SYNTHETIC_UFL_2025_W4_BATTLEHAWKS,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,,1.0,,1.0,18.0,2.0
SYNTHETIC_UFL_2025_W5_BATTLEHAWKS,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,,,1.0,27.0,1.0
SYNTHETIC_UFL_2025_W6_BATTLEHAWKS,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,,,,3.0,1.0,6.0,3.0
SYNTHETIC_UFL_2025_W7_BATTLEHAWKS,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,,,1.0,0.0,9.0,2.0
SYNTHETIC_UFL_2025_W8_BATTLEHAWKS,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,,1.0,2.0,1.0,28.0,4.0
SYNTHETIC_UFL_2025_W9_BATTLEHAWKS,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,,,1.0,1.0,0.0,13.0,1.0
SYNTHETIC_UFL_2025_W10_BATTLEHAWKS,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,1.0,,1.0,0.0,6.0,3.0
