game_id,date,season,week,league,away,home,def_tackles,gp,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,6.0,1.0,42.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,6.0,12.0,,
