game_id,date,season,week,league,away,home,gp,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,10.0,13.0,1.0,87.0,2.0,2.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,,,,,
