game_id,date,season,week,league,away,home,def_ast,def_sack,def_solo,def_tot,def_ydsl
FOOTBALL_CFL_2017_10_28_CGY@EDM,2017-10-28,2017,1,CFL,CGY,EDM,,,2.0,2.0,
FOOTBALL_CFL_2017_8_10_DEN@CHI,2017-08-10,2017,1,CFL,DEN,CHI,,,1.0,1.0,
FOOTBALL_CFL_2017_8_19_DEN@SF,2017-08-19,2017,1,CFL,DEN,SF,,,1.0,1.0,
FOOTBALL_CFL_2017_8_31_ARI@DEN,2017-08-31,2017,1,CFL,ARI,DEN,1.0,,1.0,2.0,
FOOTBALL_CFL_2018_10_13_OTT@EDM,2018-10-13,2018,1,CFL,OTT,EDM,,,2.0,2.0,
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,,1.0,1.0,
FOOTBALL_CFL_2018_10_5_WPG@OTT,2018-10-05,2018,1,CFL,WPG,OTT,,,4.0,4.0,
FOOTBALL_CFL_2018_7_12_CGY@OTT,2018-07-12,2018,1,CFL,CGY,OTT,,,1.0,1.0,
FOOTBALL_CFL_2018_7_28_OTT@HAM,2018-07-28,2018,1,CFL,OTT,HAM,,1.0,3.0,3.0,5.0
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,1.0,2.0,2.0,13.0
FOOTBALL_CFL_2018_8_17_OTT@WPG,2018-08-17,2018,1,CFL,OTT,WPG,,1.0,4.0,4.0,8.0
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,,,4.0,4.0,
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,,2.0,5.0,5.0,16.0
FOOTBALL_CFL_2018_9_22_EDM@OTT,2018-09-22,2018,1,CFL,EDM,OTT,,1.0,2.0,2.0,7.0
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,,,1.0,1.0,
FOOTBALL_CFL_2019_6_20_SSK@OTT,2019-06-20,2019,1,CFL,SSK,OTT,,1.0,6.0,6.0,6.0
