game_id,date,season,week,league,away,home,extra_point,field_goal_yards
SYNTHETIC_CFL_2023_W18_MTL,2023-10-09,2023,18,CFL,OTT,MTL,5.0,45.0
SYNTHETIC_CFL_2023_W19_MTL,2023-10-14,2023,19,CFL,MTL,EDM,2.0,159.0
SYNTHETIC_CFL_2024_W5_MTL,2024-07-06,2024,5,CFL,CGY,MTL,1.0,64.0
SYNTHETIC_CFL_2024_W6_MTL,2024-07-11,2024,6,CFL,TOR,MTL,1.0,50.0
SYNTHETIC_CFL_2024_W8_MTL,2024-07-25,2024,8,CFL,SSK,MTL,2.0,37.0
SYNTHETIC_CFL_2024_W9_MTL,2024-08-02,2024,9,CFL,MTL,HAM,3.0,63.0
SYNTHETIC_CFL_2024_W10_MTL,2024-08-10,2024,10,CFL,HAM,MTL,3.0,64.0
SYNTHETIC_CFL_2024_W11_MTL,2024-08-16,2024,11,CFL,MTL,SSK,2.0,65.0
SYNTHETIC_CFL_2024_W12_MTL,2024-08-25,2024,12,CFL,EDM,MTL,,66.0
SYNTHETIC_CFL_2024_W14_MTL,2024-09-06,2024,14,CFL,BC,MTL,1.0,95.0
SYNTHETIC_CFL_2024_W15_MTL,2024-09-14,2024,15,CFL,MTL,CGY,1.0,162.0
SYNTHETIC_CFL_2024_W16_MTL,2024-09-21,2024,16,CFL,MTL,OTT,1.0,60.0
SYNTHETIC_CFL_2024_W17_MTL,2024-09-28,2024,17,CFL,MTL,TOR,3.0,
SYNTHETIC_CFL_2024_W19_MTL,2024-10-14,2024,19,CFL,OTT,MTL,1.0,123.0
SYNTHETIC_CFL_2024_W20_MTL,2024-10-19,2024,20,CFL,MTL,BC,,14.0
SYNTHETIC_CFL_2024_W21_MTL,2024-10-26,2024,21,CFL,WPG,MTL,3.0,80.0
SYNTHETIC_CFL_2025_W1_MTL,2025-06-06,2025,1,CFL,TOR,MTL,3.0,61.0
SYNTHETIC_CFL_2025_W2_MTL,2025-06-13,2025,2,CFL,MTL,OTT,3.0,191.0
SYNTHETIC_CFL_2025_W3_MTL,2025-06-19,2025,3,CFL,MTL,EDM,4.0,69.0
SYNTHETIC_CFL_2025_W4_MTL,2025-06-27,2025,4,CFL,MTL,HAM,1.0,85.0
SYNTHETIC_CFL_2025_W5_MTL,2025-07-05,2025,5,CFL,BC,MTL,2.0,54.0
SYNTHETIC_CFL_2025_W7_MTL,2025-07-17,2025,7,CFL,TOR,MTL,1.0,65.0
SYNTHETIC_CFL_2025_W8_MTL,2025-07-24,2025,8,CFL,MTL,CGY,1.0,161.0
SYNTHETIC_CFL_2025_W9_MTL,2025-08-02,2025,9,CFL,SSK,MTL,,110.0
SYNTHETIC_CFL_2025_W10_MTL,2025-08-08,2025,10,CFL,EDM,MTL,1.0,129.0
SYNTHETIC_CFL_2025_W11_MTL,2025-08-16,2025,11,CFL,MTL,BC,,122.0
SYNTHETIC_CFL_2025_W12_MTL,2025-08-21,2025,12,CFL,WPG,MTL,1.0,51.0
SYNTHETIC_CFL_2025_W14_MTL,2025-09-06,2025,14,CFL,HAM,MTL,,115.0
SYNTHETIC_CFL_2025_W15_MTL,2025-09-13,2025,15,CFL,MTL,SSK,5.0,169.0
SYNTHETIC_CFL_2025_W16_MTL,2025-09-19,2025,16,CFL,MTL,TOR,1.0,46.0
SYNTHETIC_CFL_2025_W17_MTL,2025-09-26,2025,17,CFL,CGY,MTL,4.0,109.0
SYNTHETIC_CFL_2025_W19_MTL,2025-10-13,2025,19,CFL,OTT,MTL,2.0,209.0
SYNTHETIC_CFL_2025_W20_MTL,2025-10-18,2025,20,CFL,MTL,OTT,3.0,137.0
SYNTHETIC_CFL_2025_W21_MTL,2025-10-25,2025,21,CFL,MTL,WPG,,92.0
