game_id,date,season,week,league,away,home,fumbles_lost,receiving_tds,receiving_yards,receptions
SYNTHETIC_CFL_2025_W2_MTL,,2025,2,CFL,,,1.0,1.0,37.0,4.0
SYNTHETIC_CFL_2025_W7_MTL,,2025,7,CFL,,,,,5.0,1.0
