game_id,date,season,week,league,away,home,def_rebounds,fg3a,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,plus_minus,points,rebounds,turnovers
WNBA_202205060CHI,2022-05-06,2022,1,WNBA,LAS,CHI,2.0,1.0,0.75,4.0,3.0,2.0,,,,18.85,-8.0,6.0,2.0,1.0
WNBA_202205110CHI,2022-05-11,2022,1,WNBA,NYL,CHI,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.683333333333334,7.0,5.0,,
