game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,sacks,tackles
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,2.0,2.0,,,,,,
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,4.0,4.0,,,,,,
FOOTBALL_CFL_2021_8_21_OTT@SSK,2021-08-21,2021,1,CFL,OTT,SSK,1.0,1.0,,,,,,
FOOTBALL_CFL_2021_8_7_OTT@EDM,2021-08-07,2021,1,CFL,OTT,EDM,1.0,1.0,,,,,,
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,,,,,,4.0
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,0.0,,,,0.0,7.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,0.0,,,,0.0,3.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,0.0,,,,0.0,6.0
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,0.0,,,,0.0,3.0
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,0.0,,,,0.0,6.0
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,0.0,,,,0.0,5.0
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,,0.0,,,,0.0,6.0
10798052,2024-08-08,2024,10,CFL,SSK,OTT,,,,0.0,-1.0,1.0,,
