game_id,date,season,week,league,away,home,fielding_catches,fielding_runouts,match_played
cricket-ipl-2024-03-23-1422120,2024-03-23,2024,1,IPL,Delhi Capitals,Punjab Kings,,1.0,1.0
cricket-ipl-2024-03-30-1422129,2024-03-30,2024,1,IPL,Lucknow Super Giants,Punjab Kings,1.0,,1.0
