game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_kr,score_pts,score_tot
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,17.0,1.0,1.0,13.0,17.0,101.0,2.0,1.0,118.0,5.0,9.0,27.0,1.0,6.0,1.0
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,1.0,1.0,1.0,1.0,1.0,,,,,4.0,5.0,12.0,,,
