game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,1.0,3.0,3.0,,41.0,10.0,3.0,95.0,,,1.0,5.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,,2.0,6.0,,34.0,12.0,5.0,76.0,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,8.0,1.0,4.0,1.0,38.0,11.0,7.0,169.0,8.0,66.0,,
