game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,9.0,1.0,1.0,10.0,11.0,1.0,112.0,96.0,3.0,518.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,8.0,,,,2.0,,2.0,78.0,3.0,337.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,3.0,12.0,,,,2.0,,12.0,73.0,2.0,333.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,10.0,,,,,,,66.0,4.0,430.0
