game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rushing_tds,rushing_yards,sacks,score_conv,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,,,,,,9.0,1.0,1.0,,,9.0,6.0,1.0,6.0,,,,,,,,
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,,,,,21.0,1.0,1.0,,13.0,21.0,,,,,,,,,,,
FOOTBALL_CFL_2022_8_12_TOR@HAM,2022-08-12,2022,1,CFL,TOR,HAM,,,,,,,14.0,4.0,4.0,,7.0,39.0,,,,,,,1.0,,2.0,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,,,,24.0,2.0,2.0,,20.0,32.0,,,,,,,,,,,
FOOTBALL_CFL_2022_8_26_HAM@TOR,2022-08-26,2022,1,CFL,HAM,TOR,,,,,,,11.0,3.0,4.0,,8.0,30.0,,,,,,,,,,,
FOOTBALL_CFL_2022_8_6_HAM@TOR,2022-08-06,2022,1,CFL,HAM,TOR,,,,,,,17.0,3.0,4.0,,18.0,38.0,,,,,,,,,,,
FOOTBALL_CFL_2022_9_17_WPG@HAM,2022-09-17,2022,1,CFL,WPG,HAM,,,,,,,,1.0,2.0,1.0,12.0,54.0,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,,,,9.0,1.0,2.0,,6.0,9.0,,,,,,,,,,,
FOOTBALL_CFL_2022_9_5_TOR@HAM,2022-09-05,2022,1,CFL,TOR,HAM,,,,,,,15.0,1.0,2.0,,9.0,15.0,,,,,,,,,,,
6238,2022-07-28,2022,8,CFL,MTL,HAM,,,,0.0,21.0,1.0,,,,,,,,,,,,,,,,,
6244,2022-08-06,2022,9,CFL,HAM,TOR,,,,0.0,38.0,3.0,,,,,,,,,,,,,,,,,
6247,2022-08-12,2022,10,CFL,TOR,HAM,,,,0.0,39.0,4.0,,,,,,,,,,,,,,,,,
