game_id,date,season,week,league,away,home,conversions,passing_yards,receiving_tds,receiving_yards,receptions
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,15.0,2.0
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,10.0,1.0
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,1.0,29.0,5.0
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,,26.0,3.0
3,2024-03-31,2024,1,UFL,BRAHMAS,DEFENDERS,,,0.0,28.0,4.0
8,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,,,1.0,29.0,3.0
35,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,,,0.0,5.0,1.0
39,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,12.0,0.0,-2.0,1.0
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,0.0,6.0,1.0
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,0.0,9.0,1.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,1.0,40.0,3.0
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,1.0,39.0,1.0
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,,0.0,6.0,1.0
63,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,1.0,,0.0,0.0,0.0
65,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,,,0.0,71.0,5.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,0.0,5.0,1.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,0.0,29.0,2.0
