game_id,date,season,week,league,away,home,games_played,kick_returns,punt_returns,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rushing_yards,total_yards,yards_per_game
FOOTBALL_NAL_2021_orlando-predators_SEASON_TOTAL,2021-12-31,,0,,,ORLANDO PREDATORS,3.0,3.0,1.0,19.0,19.0,,,0.0,19.0,6.3,1.0,0.3,1.0,19.0,6.3
FOOTBALL_AF1_2026_5_23_T606163G1168385@T584638,2026-05-24,2026,7,AF1,Michigan Arsenal,Oregon Lightning,,,,3.0,3.0,0.0,0.0,1.0,3.0,,1.0,,,,
