game_id,date,season,week,league,away,home,assists,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,plus_minus,points,rebounds,steals,turnovers
WNBA_202305200DAL,2023-05-20,2023,1,WNBA,ATL,DAL,,,,,,1.0,1.0,1.0,,,,,3.183333333333333,-7.0,2.0,,,
WNBA_202305260SEA,2023-05-26,2023,1,WNBA,DAL,SEA,,,,,,,1.0,,,,,,2.2333333333333334,,,,,
WNBA_202305280CHI,2023-05-28,2023,1,WNBA,DAL,CHI,,,,1.0,,,1.0,,,,,,1.9,,,,1.0,
WNBA_202306090DAL,2023-06-09,2023,1,WNBA,PHO,DAL,,,,1.0,,,1.0,,,,,,1.6833333333333333,-7.0,,,,
WNBA_202306110NYL,2023-06-11,2023,1,WNBA,DAL,NYL,,,,,,,,,,,,,1.5,4.0,,,,
WNBA_202306140DAL,2023-06-14,2023,1,WNBA,LAS,DAL,,,,,,,,,,,,,0.9166666666666666,,,,,
WNBA_202306200DAL,2023-06-20,2023,1,WNBA,ATL,DAL,,2.0,,,,,,,,,2.0,,2.45,-4.0,,2.0,,
WNBA_202306230LAS,2023-06-23,2023,1,WNBA,DAL,LAS,,,,,,,,,,,,,0.06666666666666667,,,,,
WNBA_202307220MIN,2023-07-22,2023,1,WNBA,LVA,MIN,,,,1.0,,,1.0,,,,,,2.75,-4.0,,,,
WNBA_202308010LVA,2023-08-01,2023,1,WNBA,ATL,LVA,,,,,,,,,,,,,3.5666666666666664,1.0,,,,
WNBA_202308060DAL,2023-08-06,2023,1,WNBA,CHI,DAL,,,,,,,,,,0.5,2.0,1.0,0.08333333333333333,,1.0,,,
WNBA_202308180PHO,2023-08-18,2023,1,WNBA,NYL,PHO,,,,1.0,,0.5,2.0,1.0,,,,,4.183333333333334,-2.0,2.0,,,1.0
WNBA_202308230LAS,2023-08-23,2023,1,WNBA,PHO,LAS,,,,,,,1.0,,1.0,,,,3.75,-2.0,,,,1.0
WNBA_202308290ATL,2023-08-29,2023,1,WNBA,PHO,ATL,,1.0,1.0,1.0,1.0,0.333,3.0,1.0,,,,,7.516666666666667,6.0,3.0,1.0,1.0,
WNBA_202308310CON,2023-08-31,2023,1,WNBA,PHO,CON,,2.0,1.0,3.0,3.0,1.0,3.0,3.0,,,,,13.416666666666666,-6.0,9.0,2.0,,
WNBA_202309030MIN,2023-09-03,2023,1,WNBA,PHO,MIN,,,0.5,2.0,1.0,0.25,4.0,1.0,,,,,11.683333333333334,-9.0,3.0,,,1.0
WNBA_202309050PHO,2023-09-05,2023,1,WNBA,WAS,PHO,,3.0,0.4,5.0,2.0,0.375,8.0,3.0,3.0,,,,29.733333333333334,-13.0,8.0,3.0,1.0,
WNBA_202309080PHO,2023-09-08,2023,1,WNBA,LVA,PHO,,2.0,0.25,4.0,1.0,0.2,5.0,1.0,3.0,1.0,2.0,2.0,20.283333333333335,-4.0,5.0,2.0,,
WNBA_202309100LVA,2023-09-10,2023,1,WNBA,PHO,LVA,1.0,1.0,0.5,4.0,2.0,0.4,5.0,2.0,,,,,16.616666666666667,-9.0,6.0,1.0,,2.0
