game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W5_NO,,2022,5,USFL,,,,,0.0,5.0,1.0,0.0,21.0
SYNTHETIC_USFL_2022_W6_NO,,2022,6,USFL,,,,,0.0,20.0,2.0,1.0,102.0
SYNTHETIC_USFL_2022_W7_NO,,2022,7,USFL,,,1.0,,1.0,33.0,2.0,0.0,34.0
SYNTHETIC_USFL_2022_W8_NO,,2022,8,USFL,,,,,0.0,1.0,1.0,1.0,27.0
SYNTHETIC_USFL_2022_W9_NO,,2022,9,USFL,,,,1.0,,,,0.0,59.0
SYNTHETIC_USFL_2022_W10_NO,,2022,10,USFL,,,,,0.0,16.0,3.0,0.0,25.0
SYNTHETIC_USFL_2022_W11_NO,,2022,11,USFL,,,,0.0,0.0,30.0,1.0,0.0,49.0
SYNTHETIC_USFL_2023_W1_BREAKERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,,1.0,29.0,6.0,,46.0
SYNTHETIC_USFL_2023_W5_BREAKERS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,,,1.0,4.0,1.0,0.0,2.0
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,,,1.0,1.0,,27.0
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,0.0,-4.0,1.0,0.0,12.0
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,,0.0,-2.0,1.0,0.0,6.0
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,,0.0,3.0,1.0,0.0,23.0
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,0.0,3.0,1.0,,
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,0.0,4.0,1.0,0.0,0.0
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,0.0,19.0,2.0,,
