game_id,date,season,week,league,away,home,def_ff,def_fr,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pr_no
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,2.0,4.0,,48.0,8.0,9.0,285.0,2.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,1.0,,0.5,10.0,2.0,,,
