game_id,date,season,week,league,away,home,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,,,,,,3.0,2.0,,4.0,,,
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,1.0,,,,,,,5.0,3.0,,9.0,,,
FOOTBALL_CFL_2016_11_4_WPG@OTT,2016-11-04,2016,1,CFL,WPG,OTT,7.0,5.0,21.0,11.0,2.0,,39.0,1.0,2.0,,2.0,,,
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,29.0,20.0,,6.0,3.0,2.0,271.0,5.0,9.0,,23.0,,,
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,,,,,,,,1.0,,1.0,1.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,6.0,4.0,10.0,9.0,1.0,,20.0,4.0,20.0,,34.0,,,
