game_id,date,season,week,league,away,home,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,solo_tackles,tackles,xp_attempts,xp_made
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,2.0,,,,,,,,,,,,,,,,1.0,3.0,,
FOOTBALL_NAL_2026_3_21_T566774G1127144@T600411,2026-03-21,2026,3,NAL,Omaha Beef,Salina Liberty,,,,,,,,,,,6.0,7.0,0.0,2.0,24.0,4.0,,,,
FOOTBALL_IFL_2026_6_13_TQUADCITYSTEAMWHEELERSG20260613M6TV@TIOWABARNSTORMERS,2026-06-13,2026,14,IFL,Quad City Steamwheelers,Iowa Barnstormers,,2.0,19.0,1.0,5.0,49.6,0.0,2.0,248.0,5.0,,,,,,,,,4.0,2.0
