game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-MTL-TOR,2023-05-13,2023,3,,MTL,TOR,1.0,1.0,11.0,13.0,,1.0,,14.0,1.0,33.0,112.0
2023-05-20-BOS-MTL,2023-05-20,2023,4,,BOS,MTL,,,1.0,3.0,,,,3.0,,-7.0,15.0
2023-06-03-NY-MTL,2023-06-03,2023,6,,NY,MTL,,,3.0,4.0,1.0,,1.0,4.0,,23.0,47.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,,,3.0,5.0,,,,5.0,,15.0,15.0
2023-06-23-DC-MTL,2023-06-23,2023,9,,DC,MTL,1.0,,2.0,4.0,,,,4.0,,-14.0,61.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,,,9.0,7.0,,,,10.0,3.0,116.0,26.0
