game_id,date,season,week,league,away,home,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,,20.0,7.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,2.0,41.0,9.0
