game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards
FOOTBALL_CFL_2021_11_13_WPG@MTL,2021-11-13,2021,1,CFL,WPG,MTL,,,,,,7.0,3.0,8.0,,
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,,,,,,3.0,3.0,8.0,,
FOOTBALL_CFL_2021_11_28_MTL@HAM,2021-11-28,2021,1,CFL,MTL,HAM,,,,,,2.0,3.0,5.0,,
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,,,,,,1.0,2.0,2.0,,
SYNTHETIC_USFL_2022_W1_NO,,2022,1,USFL,,,0.0,0.0,1.0,1.0,192.0,,,,0.0,31.0
SYNTHETIC_USFL_2022_W2_NO,,2022,2,USFL,,,,0.0,0.0,0.0,124.0,,,,0.0,6.0
SYNTHETIC_USFL_2022_W3_NO,,2022,3,USFL,,,1.0,0.0,,0.0,49.0,,,,0.0,3.0
SYNTHETIC_USFL_2022_W4_NO,,2022,4,USFL,,,,3.0,,1.0,67.0,,,,1.0,79.0
SYNTHETIC_USFL_2022_W5_NO,,2022,5,USFL,,,,1.0,,1.0,304.0,,,,0.0,46.0
SYNTHETIC_USFL_2022_W6_NO,,2022,6,USFL,,,,1.0,,1.0,209.0,,,,1.0,5.0
SYNTHETIC_USFL_2022_W10_NO,,2022,10,USFL,,,,0.0,,0.0,36.0,,,,0.0,5.0
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,,,,,,,0.0,4.0
9889293,2023-06-24,2023,3,CFL,SSK,CGY,,,,,,,,,2.0,2.0
9889305,2023-07-15,2023,6,CFL,CGY,SSK,,0.0,,0.0,0.0,,,,0.0,27.0
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,,,,,,,0.0,2.0
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,0.0,,0.0,26.0,,,,0.0,2.0
10798145,2024-05-25,2024,2,CFL,SSK,EDM,,,,,,,,,1.0,1.0
10798027,2024-06-23,2024,3,CFL,HAM,SSK,,0.0,,0.0,41.0,,,,1.0,3.0
10798032,2024-07-04,2024,5,CFL,TOR,SSK,,0.0,,1.0,192.0,,,,1.0,18.0
10798038,2024-07-13,2024,6,CFL,SSK,BC,,1.0,,0.0,278.0,,,,0.0,14.0
10798041,2024-07-19,2024,7,CFL,WPG,SSK,,0.0,,1.0,261.0,,,,0.0,35.0
10798044,2024-07-25,2024,8,CFL,SSK,MTL,,0.0,,0.0,222.0,,,,0.0,2.0
10798050,2024-08-03,2024,9,CFL,EDM,SSK,,1.0,,2.0,306.0,,,,1.0,30.0
10798052,2024-08-08,2024,10,CFL,SSK,OTT,,3.0,,2.0,299.0,,,,0.0,1.0
10798057,2024-08-16,2024,11,CFL,MTL,SSK,,,,,,,,,0.0,1.0
10798060,2024-08-22,2024,12,CFL,SSK,TOR,,,,,,,,,0.0,7.0
10798065,2024-09-01,2024,13,CFL,WPG,SSK,,,,,,,,,0.0,5.0
10798076,2024-09-20,2024,16,CFL,SSK,CGY,,,,,,,,,2.0,7.0
10798081,2024-09-28,2024,17,CFL,OTT,SSK,,,,,,,,,0.0,7.0
10798085,2024-10-05,2024,18,CFL,SSK,EDM,,,,,,,,,1.0,1.0
10798088,2024-10-12,2024,19,CFL,BC,SSK,,0.0,,0.0,0.0,,,,0.0,2.0
10798096,2024-10-26,2024,21,CFL,CGY,SSK,,0.0,,0.0,56.0,,,,0.0,-2.0
