game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,interceptions,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_td,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,pat_made,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles
FOOTBALL_UFL_2024_5_18_MEM@MICH,2024-05-18,2024,8,UFL,MEM,MICH,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_26_DC@MEM,2024-05-26,2024,9,UFL,DC,MEM,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,
FOOTBALL_UFL_2024_6_2_HOU@MEM,2024-06-02,2024,10,UFL,HOU,MEM,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_NAL_2025_3_29_T425358G979260@T425360,2025-03-29,2025,4,NAL,Idaho Horsemen,Omaha Beef,,556.0,,,,,,,0.0,9.0,5.0,4.0,18.0,,9.0,69.0,2.0,0.0,0.0,45.0,16.0,,4.0,12.0,,16.0,0.0,3.0,67.0,,,
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,,636.0,,,,,,,2.0,11.0,7.0,4.0,34.0,,11.0,45.0,2.0,0.0,0.0,78.0,6.0,,8.0,21.0,,8.0,0.0,0.0,62.0,,,
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,,826.0,,,,,,,1.0,23.0,19.0,4.0,37.0,,12.0,131.0,1.0,5.0,217.0,235.0,1.0,,7.0,0.0,,1.0,0.0,0.0,7.0,,,
FOOTBALL_NAL_2026_3_14_T577047G1127139@T566774,2026-03-14,2026,2,NAL,Pueblo Punishers,Omaha Beef,,586.0,,,,,,,2.0,29.0,17.0,12.0,25.0,,10.0,81.0,1.0,3.0,103.0,166.0,5.0,,7.0,33.0,,5.0,0.0,2.0,36.0,,,
FOOTBALL_NAL_2026_3_21_T581933G1127143@T577047,2026-03-22,2026,3,NAL,Dallas Bulls,Pueblo Punishers,,615.0,,,,,,,2.0,26.0,16.0,10.0,32.0,,13.0,93.0,1.0,5.0,192.0,202.0,5.0,,8.0,11.0,,2.0,0.0,0.0,15.0,,,
FOOTBALL_NAL_2026_3_28_T570666G1127148@T577047,2026-03-29,2026,4,NAL,Sioux City Bandits,Pueblo Punishers,0.0,542.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,13.0,11.0,32.0,,13.0,116.0,2.0,4.0,167.0,168.0,19.0,,6.0,13.0,,10.0,2.0,1.0,57.0,0.0,0.0,0.0
FOOTBALL_NAL_2026_4_4_T577047G1127185@T600411,2026-04-04,2026,5,NAL,Pueblo Punishers,Salina Liberty,,630.0,,,,,,,0.0,27.0,17.0,10.0,29.0,,12.0,127.0,2.0,4.0,148.0,211.0,7.0,,2.0,12.0,,11.0,1.0,1.0,24.0,,,
FOOTBALL_NAL_2026_4_25_T577047G1127160@T570666,2026-04-26,2026,8,NAL,Pueblo Punishers,Sioux City Bandits,,368.0,,,,,,,1.0,19.0,7.0,12.0,24.0,,12.0,29.0,0.0,0.0,0.0,82.0,0.0,,8.0,39.0,,11.0,0.0,1.0,87.0,,,
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,,688.0,,,,,,,1.0,16.0,11.0,5.0,45.0,,16.0,99.0,0.0,1.0,63.0,171.0,0.0,,2.0,6.0,,10.0,1.0,1.0,19.0,,,
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,,615.0,,,,,,,2.0,26.0,16.0,10.0,21.0,,10.0,72.0,1.0,2.0,77.0,158.0,5.0,,5.0,10.0,,9.0,0.0,2.0,41.0,,,
