game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W2_HUSTLE,,2022,2,AUDL,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_2022_W3_HUSTLE,,2022,3,AUDL,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-06-17-CAR-ATL,2022-06-17,2022,4,,CAR,ATL,1.0,0.0,,,,0.0,1.0,,,,,1.0,119.0,20.0
2022-07-02-ATL-CAR,2022-07-02,2022,6,,ATL,CAR,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-08-ATL-DAL,2022-07-08,2022,7,AUDL,hustle,legion,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-09-ATL-ATX,2022-07-09,2022,7,AUDL,hustle,sol,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-16-ATL-TB,2022-07-16,2022,8,AUDL,hustle,cannons,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-22-DAL-ATL,2022-07-22,2022,9,AUDL,legion,hustle,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-30-IND-ATL,2022-07-30,2022,10,AUDL,alleycats,hustle,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2023-04-28-SEA-SLC,2023-04-28,2023,1,AUDL,SEATTLE CASCADES,SALT LAKE SHRED,5.0,2.0,1.0,17.0,16.0,,1.0,2.0,3.0,12.0,16.0,1.0,138.0,179.0
2023-05-06-SLC-SEA,2023-05-06,2023,2,AUDL,SALT LAKE SHRED,SEATTLE CASCADES,1.0,1.0,,27.0,28.0,1.0,,2.0,,14.0,28.0,,73.0,158.0
2023-05-20-OAK-SEA,2023-05-20,2023,4,AUDL,OAKLAND SPIDERS,SEATTLE CASCADES,6.0,,,38.0,30.0,,2.0,2.0,4.0,,36.0,5.0,250.0,291.0
2023-06-02-SEA-POR,2023-06-02,2023,6,AUDL,SEATTLE CASCADES,PORTLAND NITRO,8.0,1.0,,44.0,39.0,,3.0,4.0,3.0,,41.0,2.0,427.0,351.0
2023-06-10-LA-SEA,2023-06-10,2023,7,AUDL,LA AVIATORS,SEATTLE CASCADES,6.0,1.0,,18.0,17.0,,2.0,1.0,4.0,,17.0,,341.0,216.0
2023-07-15-SD-SEA,2023-07-15,2023,12,AUDL,SAN DIEGO GROWLERS,SEATTLE CASCADES,3.0,,,28.0,25.0,,4.0,5.0,3.0,1.0,25.0,,207.0,394.0
2024-04-27-SD-SEA,2024-04-27,2024,1,UFA,growlers,cascades,2.0,0.0,,,,0.0,0.0,,,,,1.0,131.0,203.0
2024-05-03-SEA-OAK,2024-05-03,2024,2,UFA,cascades,spiders,1.0,0.0,,,,0.0,1.0,,,,,2.0,109.0,23.0
2024-05-04-SEA-COL,2024-05-04,2024,2,UFA,cascades,summit,2.0,0.0,,,,1.0,1.0,,,,,5.0,259.0,106.0
2024-05-11-OAK-SEA,2024-05-11,2024,3,UFA,spiders,cascades,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-05-25-POR-SEA,2024-05-25,2024,6,UFA,nitro,cascades,2.0,1.0,,,,0.0,1.0,,,,,0.0,157.0,66.0
2024-06-01-SEA-SD,2024-06-01,2024,6,UFA,cascades,growlers,1.0,1.0,,,,0.0,1.0,,,,,0.0,91.0,63.0
2024-06-02-SEA-LA,2024-06-02,2024,6,UFA,cascades,aviators,0.0,1.0,,,,0.0,1.0,,,,,1.0,68.0,63.0
2024-06-07-LA-SEA,2024-06-07,2024,7,UFA,aviators,cascades,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-15-SEA-POR,2024-06-15,2024,8,UFA,cascades,nitro,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-29-COL-SEA,2024-06-29,2024,10,UFA,summit,cascades,4.0,3.0,,,,0.0,3.0,,,,,1.0,125.0,222.0
