game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-MIN-IND,2023-05-06,2023,2,,MIN,IND,,,,6.0,6.0,2.0,1.0,1.0,,6.0,,66.0,119.0
2023-05-20-PIT-MIN,2023-05-20,2023,4,,PIT,MIN,3.0,3.0,1.0,12.0,14.0,2.0,2.0,1.0,,15.0,1.0,97.0,132.0
2023-05-27-MIN-DET,2023-05-27,2023,5,,MIN,DET,1.0,,,18.0,17.0,,1.0,,,19.0,2.0,90.0,110.0
2023-05-28-MIN-CHI,2023-05-28,2023,5,,MIN,CHI,,,,,,1.0,,,,,,,
2023-06-03-CHI-MIN,2023-06-03,2023,6,,CHI,MIN,1.0,2.0,,18.0,16.0,3.0,2.0,1.0,,17.0,,86.0,60.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,1.0,1.0,,8.0,5.0,1.0,1.0,,,7.0,2.0,60.0,36.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,4.0,,,14.0,13.0,2.0,1.0,2.0,,13.0,,203.0,172.0
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,,1.0,,15.0,15.0,,1.0,1.0,3.0,17.0,2.0,68.0,144.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,,1.0,,6.0,5.0,1.0,1.0,,,5.0,,139.0,11.0
2023-07-09-IND-MIN,2023-07-09,2023,11,,IND,MIN,1.0,,,,,,,,,,,,
2023-07-15-CHI-MIN,2023-07-15,2023,12,,CHI,MIN,1.0,,,3.0,3.0,,,,,3.0,,56.0,6.0
