game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,,9.0,1.0,6.0,1.0
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,1.0,18.0,,2.0,1.0
