game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_td,pass_yds,pr_no,pr_td,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,3.0,11.0,34.0,2.0,899.0,1.0,,,,25.0,1.0,417.0,67.0,15.0,886.0,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,36.0,3.0,1045.0,1.0,1.0,1.0,11.0,4.0,,37.0,76.0,11.0,1229.0,19.0,4.0,117.0
