game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,pim,points,pp_assists,sh_goals,sog,to
NLL_2022_SEASON_TOTAL,,,1,,,,10.0,,,10.0,6.0,,,16.0,1.0,1.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,10.0,,,16.0,4.0,,,14.0,,,,
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0
