game_id,date,season,week,league,away,home,assist_tackles,def_sack,def_solo,def_tot,def_ydsl,int_long,int_yards,interceptions_made,sacks,solo_tackles,tackles
FOOTBALL_CFL_2018_9_21_MTL@WPG,2018-09-21,2018,1,CFL,MTL,WPG,,,4.0,4.0,,,,,,,
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,,,3.0,3.0,,,,,,,
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,,,,,,,,,,2.0,2.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,,,,,,,,1.0,1.0,1.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,2.0,,,,,,,,,3.0,5.0
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,,,,,,2.0,2.0,1.0,,1.0,1.0
FOOTBALL_CFL_2022_10_15_TOR@EDM,2022-10-15,2022,1,CFL,TOR,EDM,,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_10_29_MTL@TOR,2022-10-29,2022,1,CFL,MTL,TOR,,,3.0,3.0,,,,,,,
FOOTBALL_CFL_2022_10_8_BC@TOR,2022-10-08,2022,1,CFL,BC,TOR,,,3.0,3.0,,,,,,,
FOOTBALL_CFL_2022_11_13_MTL@TOR,2022-11-13,2022,1,CFL,MTL,TOR,,,3.0,3.0,,,,,,,
FOOTBALL_CFL_2022_11_20_TOR@WPG,2022-11-20,2022,1,CFL,TOR,WPG,,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_6_16_MTL@TOR,2022-06-16,2022,1,CFL,MTL,TOR,,,4.0,4.0,,,,,,,
FOOTBALL_CFL_2022_6_25_TOR@BC,2022-06-25,2022,1,CFL,TOR,BC,,,5.0,5.0,,,,,,,
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_7_31_OTT@TOR,2022-07-31,2022,1,CFL,OTT,TOR,,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2022_7_4_WPG@TOR,2022-07-04,2022,1,CFL,WPG,TOR,,1.0,1.0,1.0,6.0,,,,,,
FOOTBALL_CFL_2022_8_6_HAM@TOR,2022-08-06,2022,1,CFL,HAM,TOR,,,6.0,6.0,,,,,,,
