game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,sacks,tackles
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,1.0,1.0,,,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,2.0,2.0,,,
FOOTBALL_CFL_2022_10_21_OTT@HAM,2022-10-21,2022,1,CFL,OTT,HAM,1.0,1.0,,,
FOOTBALL_CFL_2022_6_17_WPG@OTT,2022-06-17,2022,1,CFL,WPG,OTT,2.0,2.0,,,
FOOTBALL_CFL_2022_7_31_OTT@TOR,2022-07-31,2022,1,CFL,OTT,TOR,1.0,1.0,,,
FOOTBALL_CFL_2022_8_27_OTT@EDM,2022-08-27,2022,1,CFL,OTT,EDM,5.0,5.0,,,
FOOTBALL_CFL_2022_8_5_CGY@OTT,2022-08-05,2022,1,CFL,CGY,OTT,2.0,2.0,,,
FOOTBALL_CFL_2022_9_10_TOR@OTT,2022-09-10,2022,1,CFL,TOR,OTT,2.0,2.0,,,
FOOTBALL_CFL_2022_9_24_TOR@OTT,2022-09-24,2022,1,CFL,TOR,OTT,2.0,2.0,,,
FOOTBALL_CFL_2022_9_2_OTT@MTL,2022-09-02,2022,1,CFL,OTT,MTL,4.0,4.0,,,
FOOTBALL_CFL_2022_9_30_OTT@BC,2022-09-30,2022,1,CFL,OTT,BC,6.0,6.0,,,
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,,,9.0
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,0.0,0.0,1.0
9889324,2023-08-19,2023,11,CFL,MTL,OTT,,,0.0,0.0,1.0
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,0.0,0.0,1.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,0.0,0.0,1.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,0.0,0.0,0.0
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,0.0,0.0,0.0
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,0.0,0.0,3.0
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,0.0,0.0,3.0
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,,2.0,0.0,2.0
