game_id,date,season,week,league,away,home,dst_touchdown,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
89,2026-03-28,2026,1,UFL,HOUSTON GAMBLERS,DALLAS RENEGADES,1.0,0.0,59.0,5.0,,
93,2026-04-05,2026,2,UFL,BIRMINGHAM STALLIONS,HOUSTON GAMBLERS,,0.0,0.0,0.0,,
96,2026-04-11,2026,3,UFL,HOUSTON GAMBLERS,DC DEFENDERS,,0.0,0.0,0.0,,
108,2026-05-01,2026,6,UFL,HOUSTON GAMBLERS,COLUMBUS AVIATORS,,0.0,9.0,2.0,,
114,2026-05-10,2026,7,UFL,ORLANDO STORM,HOUSTON GAMBLERS,,0.0,68.0,6.0,,
117,2026-05-16,2026,8,UFL,HOUSTON GAMBLERS,ST. LOUIS BATTLEHAWKS,,0.0,52.0,5.0,0.0,0.0
122,2026-05-24,2026,9,UFL,ST. LOUIS BATTLEHAWKS,HOUSTON GAMBLERS,,0.0,103.0,4.0,,
