game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W2_CASCADES,,2022,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-17-SEA-OAK,2022-06-17,2022,4,,SEA,OAK,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-18-SEA-COL,2022-06-18,2022,4,,SEA,COL,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-25-OAK-SEA,2022-06-25,2022,5,,OAK,SEA,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-08-SLC-SEA,2022-07-08,2022,7,AUDL,shred,cascades,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-23-SD-SEA,2022-07-23,2022,9,AUDL,growlers,cascades,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2023-04-28-SEA-SLC,2023-04-28,2023,1,AUDL,SEATTLE CASCADES,SALT LAKE SHRED,,,3.0,2.0,,1.0,,,2.0,2.0,-15.0,-5.0
2023-05-06-SLC-SEA,2023-05-06,2023,2,AUDL,SALT LAKE SHRED,SEATTLE CASCADES,2.0,,18.0,22.0,,,1.0,,22.0,,55.0,118.0
2023-05-13-SEA-COL,2023-05-13,2023,3,AUDL,SEATTLE CASCADES,COLORADO SUMMIT,,,2.0,1.0,,,,,2.0,1.0,6.0,12.0
2023-06-02-SEA-POR,2023-06-02,2023,6,AUDL,SEATTLE CASCADES,PORTLAND NITRO,,1.0,3.0,5.0,,,1.0,,6.0,1.0,-16.0,9.0
2023-06-10-LA-SEA,2023-06-10,2023,7,AUDL,LA AVIATORS,SEATTLE CASCADES,,,2.0,2.0,,,,,2.0,,7.0,14.0
2023-07-01-COL-SEA,2023-07-01,2023,10,AUDL,COLORADO SUMMIT,SEATTLE CASCADES,,1.0,25.0,22.0,1.0,1.0,,1.0,24.0,1.0,37.0,58.0
2023-07-15-SD-SEA,2023-07-15,2023,12,AUDL,SAN DIEGO GROWLERS,SEATTLE CASCADES,,,4.0,7.0,,,3.0,,7.0,,33.0,69.0
2023-07-22-POR-SEA,2023-07-22,2023,13,AUDL,PORTLAND NITRO,SEATTLE CASCADES,1.0,2.0,13.0,14.0,,1.0,,,16.0,2.0,25.0,78.0
2024-04-27-SD-SEA,2024-04-27,2024,1,UFA,growlers,cascades,2.0,1.0,,,0.0,1.0,,,,1.0,147.0,178.0
2024-05-03-SEA-OAK,2024-05-03,2024,2,UFA,cascades,spiders,0.0,0.0,,,0.0,1.0,,,,0.0,67.0,-26.0
2024-05-04-SEA-COL,2024-05-04,2024,2,UFA,cascades,summit,4.0,1.0,,,0.0,0.0,,,,0.0,161.0,263.0
2024-05-11-OAK-SEA,2024-05-11,2024,3,UFA,spiders,cascades,1.0,0.0,,,0.0,1.0,,,,1.0,97.0,127.0
2024-05-25-POR-SEA,2024-05-25,2024,6,UFA,nitro,cascades,2.0,1.0,,,1.0,1.0,,,,1.0,139.0,157.0
2024-06-01-SEA-SD,2024-06-01,2024,6,UFA,cascades,growlers,1.0,0.0,,,0.0,1.0,,,,1.0,18.0,30.0
2024-06-02-SEA-LA,2024-06-02,2024,6,UFA,cascades,aviators,0.0,1.0,,,0.0,0.0,,,,2.0,16.0,16.0
2024-06-07-LA-SEA,2024-06-07,2024,7,UFA,aviators,cascades,4.0,0.0,,,0.0,0.0,,,,1.0,214.0,140.0
2024-06-15-SEA-POR,2024-06-15,2024,8,UFA,cascades,nitro,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
