game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,4.0,,,10.0,1.0,,2.0,,5.0,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,7.0,,,17.0,2.0,,14.0,,9.0,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,7.0,,,18.0,4.0,,4.0,,11.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,10.0,,,16.0,,,6.0,,10.0,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
