game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds,rush_att
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,9.0,5.0,7.0,5.0,3.0,22.0,749.0,2.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,7.0,12.0,47.0,43.0,4.0,153.0,
