game_id,date,season,week,league,away,home,def_ff,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,12.0,5.0,1.0,88.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,2.0,12.0,3.0,,50.0
