game_id,date,season,week,league,away,home,def_solo,def_tot,recv_fd,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_fc,ret_lg,ret_num,ret_yds
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,1.0,1.0,,,,,,,,5.0,1.0,5.0
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,,6.0,1.0,1.0,1.0,6.0,,50.0,1.0,50.0
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,,,,,,,,,,33.0,6.0,69.0
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,,,,,,,,,,18.0,3.0,27.0
FOOTBALL_CFL_2016_8_12_MIN@CIN,2016-08-12,2016,1,CFL,MIN,CIN,,,1.0,3.0,1.0,2.0,,3.0,,10.0,2.0,12.0
FOOTBALL_CFL_2016_8_18_MIN@SEA,2016-08-18,2016,1,CFL,MIN,SEA,,,,,,1.0,,,1.0,16.0,3.0,14.0
FOOTBALL_CFL_2016_8_28_SD@MIN,2016-08-28,2016,1,CFL,SD,MIN,1.0,1.0,,,,,,,,10.0,1.0,10.0
