game_id,date,season,week,league,away,home,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles,xp_attempts,xp_made
FOOTBALL_NAL_2026_3_7_T566773G1127137@T573852,2026-03-08,2026,1,NAL,Amarillo Warbirds,Louisiana Rouxgaroux,,,,,1.0,,,,,,,2.0,2.0,0.0,2.0,5.0,6.0,0.0,0.0,20.0,4.0,3.0,17.0,10.0,1.0,2.0,34.0,,,,
FOOTBALL_NAL_2026_3_13_T570666G1127140@T566773,2026-03-13,2026,2,NAL,Sioux City Bandits,Amarillo Warbirds,,,,,,,,,,,,,,,,5.0,11.0,0.0,1.0,26.0,5.0,3.0,10.0,7.0,0.0,0.0,22.0,,,,
FOOTBALL_IFL_2026_3_29_TVEGASKNIGHTHAWKSG20260329KHXS@TTUCSONSUGARSKULLS,2026-03-29,2026,3,IFL,Vegas Knight Hawks,Tucson Sugar Skulls,1.0,3.0,35.0,2.0,,11.0,53.0,0.0,1.0,424.0,8.0,,,,,,,,,,,,,,,,,0.0,1.0,5.0,5.0
FOOTBALL_IFL_2026_4_4_TTUCSONSUGARSKULLSG202604045N9L@TNEWMEXICOCHUPACABRAS,2026-04-04,2026,4,IFL,Tucson Sugar Skulls,New Mexico Chupacabras,,3.0,33.0,1.0,,9.0,46.3,3.0,1.0,370.0,8.0,,,,,,,,,,,,,,,,,,,6.0,6.0
FOOTBALL_NAL_2026_3_28_T573852G1127146@T566773,2026-03-28,2026,4,NAL,Louisiana Rouxgaroux,Amarillo Warbirds,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,4.0,0.0,0.0,9.0,,,,
FOOTBALL_IFL_2026_4_11_TSANDIEGOSTRIKEFORCEG202604116LJB@TTUCSONSUGARSKULLS,2026-04-11,2026,5,IFL,San Diego Strike Force,Tucson Sugar Skulls,,1.0,0.0,0.0,,5.0,46.3,0.0,0.0,278.0,6.0,,,,,,,,,,,,,,,,,,,5.0,5.0
FOOTBALL_IFL_2026_4_19_TNEWMEXICOCHUPACABRASG20260419817Y@TTUCSONSUGARSKULLS,2026-04-19,2026,6,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,0.0,5.0,48.0,4.0,,15.0,43.9,0.0,0.0,307.0,7.0,,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0
FOOTBALL_IFL_2026_4_26_TTUCSONSUGARSKULLSG202604264V0I@TSANDIEGOSTRIKEFORCE,2026-04-26,2026,7,IFL,Tucson Sugar Skulls,San Diego Strike Force,,3.0,32.0,1.0,,5.0,42.0,0.0,1.0,252.0,6.0,,,,,,,,,,,,,,,,,,,2.0,2.0
FOOTBALL_IFL_2026_5_2_TSANANTONIOGUNSLINGERSG202605025PR1@TTUCSONSUGARSKULLS,2026-05-02,2026,8,IFL,San Antonio Gunslingers,Tucson Sugar Skulls,,4.0,17.0,1.0,,5.0,49.0,0.0,0.0,147.0,3.0,,,,,,,,,,,,,,,,,,,2.0,2.0
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,,2.0,0.0,0.0,,2.0,44.3,0.0,0.0,177.0,4.0,,,,,,,,,,,,,,,,,,,2.0,2.0
FOOTBALL_IFL_2026_5_15_TTUCSONSUGARSKULLSG20260515CE9O@TQUADCITYSTEAMWHEELERS,2026-05-15,2026,10,IFL,Tucson Sugar Skulls,Quad City Steamwheelers,,2.0,28.0,1.0,,8.0,47.2,0.0,0.0,283.0,6.0,,,,,,,,,,,,,,,,,,,5.0,5.0
