game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,6.0,,,4.0,1.0,,2.0,,7.0,,,,
NLL_2021_SEASON_TOTAL,,,1,,,,21.0,,,17.0,26.0,,13.0,,47.0,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,21.0,,,17.0,38.0,,26.0,,59.0,3.0,3.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,28.0,,,16.0,31.0,,30.0,,59.0,6.0,10.0,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0
