game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,12.0,2.0,42.0,19.0,2.0,214.0,88.0,4.0,471.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,3.0,12.0,,,27.0,,228.0,153.0,8.0,776.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,10.0,,,10.0,,35.0,147.0,13.0,750.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,9.0,,,2.0,,10.0,65.0,5.0,346.0
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,1.0,,,,,,7.0,,23.0
