game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,int_avg,int_long,int_yards,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_defended,passing_tds,passing_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
SALINA-CORPUS,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,42.0,4.0,,,,,,
SWKANSAS-NASHVILLE,2025-03-08,2025,0,AF1,NASHVILLE,SW KANSAS,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.0,2.0,,,,,,
STORM-FIREBIRDS,2025-03-21,2025,2,AF1,SW KANSAS,ALBANY,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.0,5.0,,,,,,
STORM-LIGHTNING-0330,2025-03-30,2025,3,AF1,OREGON,SW KANSAS,,,,,,,,,,,,,,,,,,,,,,,,,2.0,99.0,5.0,,,,,,
FOOTBALL_UFL_2025_4_27_HOU@SA,2025-04-27,2025,5,UFL,HOU,SA,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKANSAS-OREGON-0412,2025-04-12,2025,5,AF1,SW KANSAS,SALINA,,,,,,,,,,,,,,,,,,,,,,,,,4.0,288.0,20.0,,,,,,
CORPUSCHRISTI-SWKANSAS-0419,2025-04-19,2025,6,AF1,SW KANSAS,CORPUS CHRISTI,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,6.0,,,,,,
FOOTBALL_UFL_2025_5_4_SA@BHM,2025-05-04,2025,6,UFL,SA,BHM,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_5_10_DC@SA,2025-05-10,2025,7,UFL,DC,SA,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKANSAS-NASHVILLE-0426,2025-04-26,2025,7,AF1,NASHVILLE,SW KANSAS,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,1.0,23.0,2.0,,,,,,
FOOTBALL_UFL_2025_5_17_MEM@SA,2025-05-17,2025,8,UFL,MEM,SA,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKANSAS-BILLINGS-0503,2025-05-03,2025,8,AF1,BILLINGS,SW KANSAS,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.0,2.0,,,,,,
FOOTBALL_UFL_2025_5_24_STL@SA,2025-05-24,2025,9,UFL,STL,SA,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_6_1_ARL@SA,2025-06-01,2025,10,UFL,ARL,SA,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON-SWKANSAS-05-25,2025-05-25,2025,11,AF1,SW KANSAS,WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,4.0,117.0,6.0,,,,,,
SALINA-KANSAS-0607,2025-06-07,2025,13,AF1,SW KANSAS,SALINA,,,,,,,,,,,,,,,,,,,,,,,,,1.0,51.0,4.0,,,,,,
SWKANSAS-SALINA-0615,2025-06-15,2025,14,AF1,SALINA,SW KANSAS,,,,,,,,,,,,,,,,,,,,,,,,,2.0,147.0,9.0,,,,,,
FOOTBALL_NAL_2026_3_13_T600414G1127142@T573852,2026-03-14,2026,2,NAL,Southwest Kansas Storm,Louisiana Rouxgaroux,,,,,,,,,,,,,,,,,,,,,,26.0,41.0,0.0,2.0,51.0,2.0,,,,,,
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,,,,,,,,,,,,,,,,,,,,,,13.0,20.0,0.0,2.0,76.0,6.0,,,,,,
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,
FOOTBALL_NAL_2026_4_4_T570667G1127152@T600414,2026-04-04,2026,5,NAL,Colorado Spartans,Southwest Kansas Storm,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,,,,14.0,16.0,0.0,0.0,42.0,3.0,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_4_18_TVEGASKNIGHTHAWKSG20260418AH7B@TSANANTONIOGUNSLINGERS,2026-04-18,2026,6,IFL,Vegas Knight Hawks,San Antonio Gunslingers,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,13.0,0.5,2.0
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,17.0,43.0,0.0,1.0,139.0,8.0,0.0,0.0,,0.0,,
FOOTBALL_IFL_2026_4_25_TNAZWRANGLERSG20260425HT1S@TSANANTONIOGUNSLINGERS,2026-04-25,2026,7,IFL,NAZ Wranglers,San Antonio Gunslingers,4.0,1.0,,,0.0,,,1.0,17.0,18.0,18.0,18.0,,2.0,11.0,16.0,0.0,22.0,2.0,,,,,,,,,,,1.0,5.0,,
FOOTBALL_NAL_2026_4_18_T600414G1127159@T566773,2026-04-18,2026,7,NAL,Southwest Kansas Storm,Amarillo Warbirds,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,15.0,32.0,0.0,2.0,75.0,5.0,,,,,,
