game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
9889284,2023-06-09,2023,1,CFL,HAM,WPG,0.0,,0.0,10.0,,,,0.0,1.0,,
9889304,2023-07-15,2023,6,CFL,WPG,OTT,,,,,,,,0.0,2.0,,
9889306,2023-07-20,2023,7,CFL,EDM,WPG,,,,,0.0,2.0,1.0,0.0,29.0,,
SYNTHETIC_CFL_2023_W8_WPG,,2023,8,CFL,,,0.0,,0.0,0.0,,,,0.0,8.0,,
9889314,2023-08-03,2023,9,CFL,BC,WPG,0.0,,0.0,0.0,,,,0.0,7.0,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,,,,,,0.0,2.0,,
9889323,2023-08-18,2023,11,CFL,WPG,CGY,0.0,0.0,0.0,0.0,,,,2.0,30.0,0.0,1.0
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,,,,,,,1.0,9.0,,
9889336,2023-09-09,2023,14,CFL,SSK,WPG,0.0,,0.0,0.0,,,,1.0,4.0,,
SYNTHETIC_CFL_2023_W16_WPG,,2023,16,CFL,,,,,,,,,,1.0,4.0,,
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,,,,,,1.0,1.0,,
SYNTHETIC_CFL_2023_W19_WPG,,2023,19,CFL,,,0.0,0.0,0.0,46.0,,,,0.0,12.0,0.0,1.0
