game_id,date,season,week,league,away,home,def_ff,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,1.0,51.0,7.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,,2.0,79.0,12.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,,1.0,59.0,12.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,,46.0,7.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,1.0,1.0,22.0,9.0
