game_id,date,season,week,league,away,home,assisted_tackles,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_8_T425360G979249@T450150,2025-03-09,2025,1,NAL,Omaha Beef,Shreveport Rouxgaroux,,1.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,1.0,24.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,,,,
FOOTBALL_NAL_2025_3_15_T425357G979252@T425360,2025-03-15,2025,2,NAL,Colorado Spartans,Omaha Beef,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,-4.0,0.0,1.0,0.0,0.0,-4.0,,,,
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,,2.0,14.0,15.0,0.0,29.0,10.0,15.0,0.0,1.0,60.0,6.0,,,,,,,,,,
FOOTBALL_NAL_2025_4_19_T425361G979267@T425360,2025-04-19,2025,7,NAL,Sioux City Bandits,Omaha Beef,,,,,,,8.0,14.0,0.0,0.0,49.0,6.0,5.0,6.0,2.0,0.0,0.0,9.0,,,,
FOOTBALL_NAL_2025_5_17_T425361G979283@T425362,2025-05-17,2025,11,NAL,Sioux City Bandits,Wheeling Miners,,,,,,,10.0,0.0,0.0,1.0,19.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,0.0,,,,,,12.0,13.0,,1.0,24.0,2.0,5.0,5.0,1.0,,0.0,5.0,2.0,2.0,2.0,0.0
FOOTBALL_IFL_2026_3_14_TQUADCITYSTEAMWHEELERSG20260314RYY1@TFISHERSFREIGHT,2026-03-14,2026,1,IFL,Quad City Steamwheelers,Fishers Freight,0.0,,,,,,,,,,,,5.0,6.0,2.0,,0.0,10.0,2.0,2.0,,
FOOTBALL_IFL_2026_4_5_TQUADCITYSTEAMWHEELERSG20260405ZTCZ@TORLANDOPIRATES,2026-04-05,2026,4,IFL,Quad City Steamwheelers,Orlando Pirates,,,,,,,8.7,16.0,,1.0,26.0,3.0,0.0,0.0,1.0,,0.0,0.0,,,,
FOOTBALL_IFL_2026_4_11_TGREENBAYBLIZZARDG20260411RZSM@TQUADCITYSTEAMWHEELERS,2026-04-11,2026,5,IFL,Green Bay Blizzard,Quad City Steamwheelers,,,,,,,12.7,21.0,,1.0,38.0,3.0,5.5,6.0,2.0,,0.0,11.0,,,,
FOOTBALL_IFL_2026_4_17_TQUADCITYSTEAMWHEELERSG20260417A5V1@TSANDIEGOSTRIKEFORCE,2026-04-17,2026,6,IFL,Quad City Steamwheelers,San Diego Strike Force,,,,,,,12.7,24.0,,1.0,38.0,3.0,11.0,11.0,1.0,,0.0,11.0,,,,
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,0.0,,,,,,6.0,10.0,,0.0,18.0,3.0,1.0,1.0,2.0,,0.0,2.0,1.0,1.0,,
