game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,pr_no,pr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,4.0,8.0,1.5,56.0,12.0,2.0,21.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,2.0,5.0,4.0,,52.0,10.0,1.0,18.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,2.0,6.0,0.5,43.0,10.0,,
