game_id,date,season,week,league,away,home,assists,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,2.0,,-3.0,2.0,5.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,,11.0,-1.0,18.0,1.0
