game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,lost_fumbles,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,
FOOTBALL_CFL_2016_7_13_OTT@TOR,2016-07-13,2016,1,CFL,OTT,TOR,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,3.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,,,,,,1.0,1.0,,,,,1.0,4.0,,,,,,,,,,,2.0,8.0,,9.0,,,,,,,
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,,,,,,1.0,1.0,,4.0,,,,4.0,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,
FOOTBALL_CFL_2016_8_12_WPG@TOR,2016-08-12,2016,1,CFL,WPG,TOR,,,,,,4.0,3.0,,,,,1.0,55.0,,,,,,,,,,,4.0,13.0,,27.0,,,,,,,
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,,,,,,12.0,6.0,,9.0,,,,44.0,,,,,,,,,,,9.0,11.0,2.0,47.0,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2017_10_14_TOR@EDM,2017-10-14,2017,1,CFL,TOR,EDM,,,,,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,,2.0,,1.0,2.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,,,,,,,,,,,,,,,,,,,,,,,,8.0,13.0,1.0,23.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,,13.0,,,,,,,
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,3.0,,,,,,,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,6.0,,,,,,,
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,3.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,8.0,,,,,,,
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,3.0,,,,,,,
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,4.0,,,,,,,
FOOTBALL_CFL_2017_8_11_TOR@MTL,2017-08-11,2017,1,CFL,TOR,MTL,,,,,,16.0,10.0,,13.0,,,,75.0,,,,,,,,,,,9.0,13.0,,60.0,,,,,,,
FOOTBALL_CFL_2017_8_19_MTL@TOR,2017-08-19,2017,1,CFL,MTL,TOR,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,7.0,,,,,,,
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,4.0,,,,,,,
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,,,,,,11.0,6.0,,41.0,,,,75.0,,,,,,,,,,,8.0,,1.0,55.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2017_9_16_EDM@TOR,2017-09-16,2017,1,CFL,EDM,TOR,,,,,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,,2.0,19.0,,32.0,,,,,,,
FOOTBALL_CFL_2017_9_23_MTL@TOR,2017-09-23,2017,1,CFL,MTL,TOR,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,1.0,6.0,,6.0,,,,,,,
FOOTBALL_CFL_2017_9_30_TOR@HAM,2017-09-30,2017,1,CFL,TOR,HAM,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,2.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,6.0,,10.0,,,,,,,
FOOTBALL_CFL_2018_10_13_BC@CGY,2018-10-13,2018,1,CFL,BC,CGY,,,,,,1.0,1.0,,3.0,,,,3.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,6.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,3.0,,,,,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_CFL_2018_11_3_CGY@BC,2018-11-03,2018,1,CFL,CGY,BC,1.0,1.0,,,,,,,,,,,,,,,,,7.0,1.0,1.0,1.0,7.0,4.0,2.0,1.0,7.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,6.0,1.0,1.0,
